confidence,bet_type,played,hit,hit_pct,stake,payout,balance,roi,master_achieved
SS,単勝 ◎/◉,2451,1082,44.15,245100,183640,-61460,74.92,
SS,三連複 M',2451,574,23.42,979800,841220,-138580,85.86,
SS,馬連 ◎-○+◎-▲,4902,712,14.52,490200,336350,-153850,68.61,
SS,ワイド ◎-○+◎-▲,4902,1395,28.46,490200,349280,-140920,71.25,
S,単勝 ◎/◉,4059,1646,40.55,405900,304800,-101100,75.09,
S,三連複 M',4059,1422,35.03,2839700,1991120,-848580,70.12,
S,馬連 ◎-○+◎-▲,8118,1193,14.70,811800,627250,-184550,77.27,
S,ワイド ◎-○+◎-▲,8118,2295,28.27,811800,596990,-214810,73.54,
A,単勝 ◎/◉,6397,2238,34.99,639700,483980,-155720,75.66,
A,三連複 M',6397,2233,34.91,4471700,3003360,-1468340,67.16,
A,馬連 ◎-○+◎-▲,12794,1704,13.32,1279400,934030,-345370,73.01,
A,ワイド ◎-○+◎-▲,12794,3495,27.32,1279400,919530,-359870,71.87,
B,単勝 ◎/◉,319,86,26.96,31900,30980,-920,97.12,
B,三連複 M',319,112,35.11,316600,237370,-79230,74.97,
B,馬連 ◎-○+◎-▲,638,74,11.60,63800,58000,-5800,90.91,
B,ワイド ◎-○+◎-▲,638,97,15.20,63800,33610,-30190,52.68,
C,単勝 ◎/◉,56,14,25.00,5600,4400,-1200,78.57,
C,三連複 M',56,16,28.57,56000,16960,-39040,30.29,
C,馬連 ◎-○+◎-▲,112,11,9.82,11200,4830,-6370,43.12,
C,ワイド ◎-○+◎-▲,112,16,14.29,11200,7070,-4130,63.12,
D,単勝 ◎/◉,10,1,10.00,1000,180,-820,18.00,
D,三連複 M',10,3,30.00,9700,4320,-5380,44.54,
D,馬連 ◎-○+◎-▲,20,3,15.00,2000,1490,-510,74.50,
D,ワイド ◎-○+◎-▲,20,4,20.00,2000,1300,-700,65.00,
E,単勝 ◎/◉,0,0,0.00,0,0,0,0.00,
E,三連複 M',0,0,0.00,0,0,0,0.00,
E,馬連 ◎-○+◎-▲,0,0,0.00,0,0,0,0.00,
E,ワイド ◎-○+◎-▲,0,0,0.00,0,0,0,0.00,
F,単勝 ◎/◉,0,0,0.00,0,0,0,0.00,
F,三連複 M',0,0,0.00,0,0,0,0.00,
F,馬連 ◎-○+◎-▲,0,0,0.00,0,0,0,0.00,
F,ワイド ◎-○+◎-▲,0,0,0.00,0,0,0,0.00,
