valid_month,strategy,played,hit,hit_pct,roi_pct
2024-09,S1,1445,620,42.9066,79.4602
2024-09,S2,1445,620,42.9066,79.4602
2024-09,S2b,1445,620,42.9066,79.4602
2024-09,S2c,1445,620,42.9066,79.4602
2024-09,S2d,1445,620,42.9066,79.4602
2024-09,S3,668,348,52.0958,78.8473
2024-09,S3b,1021,492,48.1881,80.9305
2024-09,S4,1021,492,48.1881,80.9305
2024-12,S1,1443,619,42.8967,79.6466
2024-12,S2,1443,619,42.8967,79.6466
2024-12,S2b,1443,619,42.8967,79.6466
2024-12,S2c,1443,619,42.8967,79.6466
2024-12,S2d,1443,619,42.8967,79.6466
2024-12,S3,731,394,53.8988,84.5007
2024-12,S3b,1045,494,47.2727,79.7512
2024-12,S4,1045,494,47.2727,79.7512
2025-03,S1,1411,590,41.8143,80.8221
2025-03,S2,1410,590,41.8440,80.8794
2025-03,S2b,1411,590,41.8143,80.8221
2025-03,S2c,1411,590,41.8143,80.8221
2025-03,S2d,1411,590,41.8143,80.8221
2025-03,S3,670,349,52.0896,82.7612
2025-03,S3b,1013,470,46.3968,80.6417
2025-03,S4,1013,470,46.3968,80.6417
2025-06,S1,1491,585,39.2354,74.8223
2025-06,S2,1490,585,39.2617,74.8725
2025-06,S2b,1491,585,39.2354,74.8223
2025-06,S2c,1491,585,39.2354,74.8223
2025-06,S2d,1491,585,39.2354,74.8223
2025-06,S3,666,332,49.8498,78.7688
2025-06,S3b,1055,463,43.8863,75.5640
2025-06,S4,1055,463,43.8863,75.5640
2025-09,S1,1459,633,43.3859,79.5751
2025-09,S2,1459,633,43.3859,79.5751
2025-09,S2b,1459,633,43.3859,79.5751
2025-09,S2c,1459,633,43.3859,79.5751
2025-09,S2d,1459,633,43.3859,79.5751
2025-09,S3,708,378,53.3898,82.4859
2025-09,S3b,1096,531,48.4489,82.6551
2025-09,S4,1096,531,48.4489,82.6551
2025-12,S1,1424,618,43.3989,79.0590
2025-12,S2,1424,618,43.3989,79.0590
2025-12,S2b,1424,618,43.3989,79.0590
2025-12,S2c,1424,618,43.3989,79.0590
2025-12,S2d,1424,618,43.3989,79.0590
2025-12,S3,717,388,54.1144,82.2315
2025-12,S3b,1031,509,49.3695,82.4442
2025-12,S4,1031,509,49.3695,82.4442
