strategy,ticket,played_total,hit_total,hit_pct_weighted,roi_pct_weighted,payout_sum_total,judgment
all,tansho,8603,3645,42.3689,80.2894,690730.0,
all,umaren,8603,1944,22.5968,79.1119,680600.0,
all,wide,8603,3586,41.6831,117.9728,1014920.0,✅ マスター基準達成
all,sanrenpuku,8603,1234,14.3438,77.5822,667440.0,
all,sanrentan,8603,369,4.2892,73.8684,635490.0,
S3,tansho,4066,2149,52.8529,83.0152,337540.0,
S3,umaren,4066,953,23.4383,77.7275,316040.0,
S3,wide,4066,1756,43.1874,119.2597,484910.0,✅ マスター基準達成
S3,sanrenpuku,4066,612,15.0516,82.8603,336910.0,
S3,sanrentan,4066,209,5.1402,76.515,311110.0,
