rank,feature_name,avg_mean_abs_shap
1,dev_run1_adj,0.154700
2,field_count,0.137730
3,jockey_place_rank_in_race,0.102050
4,trainer_place_rank_in_race,0.057685
5,horse_venue_pr,0.054725
6,dev_run2_adj,0.046972
7,relative_dev_mean_5,0.040403
8,horse_avg_finish,0.040109
9,venue_sim_place_rate,0.036481
10,venue_sim_runs,0.029911
11,front_runner_count_in_race,0.025700
12,jockey_pr_2y,0.022710
13,age,0.022283
14,relative_dev_max_5,0.021849
15,jockey_place_rate_90d,0.021802
16,trainer_horse_pr,0.018900
17,speed_index_avg_6m,0.018202
18,style_pace_affinity,0.017812
19,relative_dev_recent,0.017772
20,jockey_sim_venue_dist_pr,0.016785
21,speed_index_adj_6m,0.016487
22,gate_no,0.016108
23,jt_combo_wr,0.015573
24,pace_pressure_index,0.015159
25,ml_pos_est,0.014297
26,jockey_win_rate,0.012818
27,horse_days_since,0.011911
28,horse_dist_pr,0.011637
29,speed_index_best_1y,0.011042
30,speed_index_best3,0.010859
