rank,feature_name,mean_abs_shap,relative_pct
1,horse_venue_pr,0.214293,19.4904
2,jockey_place_rank_in_race,0.116905,10.6327
3,trainer_horse_pr,0.092048,8.3720
4,trainer_place_rank_in_race,0.066220,6.0228
5,relative_dev_mean_5,0.057487,5.2286
6,venue_sim_runs,0.051786,4.7100
7,style_pace_affinity,0.034779,3.1632
8,field_count,0.032732,2.9770
9,dev_run2_adj,0.032431,2.9497
10,pace_pressure_index,0.029309,2.6657
11,relative_dev_max_5,0.027945,2.5416
12,relative_dev_recent,0.025033,2.2768
13,dev_run1_adj,0.022854,2.0787
14,jt_combo_wr,0.021454,1.9512
15,front_runner_count_in_race,0.020278,1.8444
16,jockey_place_rate_90d,0.018434,1.6766
17,speed_index_avg_6m,0.018263,1.6611
18,ml_pos_est,0.017103,1.5556
19,past_avg_outer_ratio,0.014277,1.2985
20,same_dir_runs,0.012589,1.1450
21,horse_jockey_pr,0.012417,1.1294
22,past_corner_loss_sec_avg,0.012202,1.1098
23,venue_sim_place_rate,0.012120,1.1023
24,horse_running_style,0.010662,0.9697
25,speed_index_adj_6m,0.009691,0.8814
26,jockey_win_rate_90d,0.007515,0.6835
27,speed_index_best3,0.006098,0.5547
28,speed_index_trend,0.005572,0.5068
29,jockey_sim_venue_dist_pr,0.005424,0.4933
30,jockey_win_rate,0.005142,0.4677
